Product_ID,Product_Name,Packaging_Category,Units_Per_Box
SKU-001,Product 001,Medium,10
SKU-002,Product 002,Medium,11
SKU-003,Product 003,Small,21
SKU-004,Product 004,Medium,14
SKU-005,Product 005,Small,26
SKU-006,Product 006,Small,21
SKU-007,Product 007,Small,28
SKU-008,Product 008,Medium,14
SKU-009,Product 009,Small,30
SKU-010,Product 010,Medium,13
SKU-011,Product 011,Small,29
SKU-012,Product 012,Small,20
SKU-013,Product 013,Large,6
SKU-014,Product 014,Medium,12
SKU-015,Product 015,Small,23
SKU-016,Product 016,Large,7
SKU-017,Product 017,Small,26
SKU-018,Product 018,  Small ,25
SKU-019,Product 019,Medium,10
SKU-020,Product 020,Medium,14
SKU-021,Product 021,Small,26
SKU-022,Product 022,Small,24
SKU-023,Product 023,Large,7
SKU-024,Product 024,Medium,15
SKU-025,Product 025,Small,30
SKU-026,Product 026,Small,24
SKU-027,Product 027,Large,6
SKU-028,Product 028,Large,8
SKU-029,Product 029,Small,30
SKU-030,Product 030,Large,6
SKU-031,Product 031,Small,23
SKU-032,Product 032,Medium,15
SKU-033,Product 033,Large,5
SKU-034,Product 034,  Medium ,11
SKU-035,Product 035,Medium,11
SKU-036,Product 036,Small,26
SKU-037,Product 037,  Small ,30
SKU-038,Product 038,Medium,11
SKU-039,Product 039,Medium,10
SKU-040,Product 040,Small,20
SKU-041,Product 041,Large,8
SKU-042,Product 042,Small,23
SKU-043,Product 043,Large,7
SKU-044,Product 044,Small,27
SKU-045,Product 045,Small,30
SKU-046,Product 046,Medium,12
SKU-047,Product 047,Small,28
SKU-048,Product 048,Medium,15
SKU-049,Product 049,Medium,14
SKU-050,Product 050,Small,23
SKU-051,Product 051,Large,6
SKU-052,Product 052,Medium,10
SKU-053,Product 053,Large,5
SKU-054,Product 054,Small,22
SKU-055,Product 055,Large,8
SKU-056,Product 056,Medium,13
SKU-057,Product 057,Small,27
SKU-058,Product 058,Medium,14
SKU-059,Product 059,Large,5
SKU-060,Product 060,Medium,10
SKU-061,Product 061,Medium,14
SKU-062,Product 062,Large,7
SKU-063,Product 063,Small,26
SKU-064,Product 064,Small,20
SKU-065,Product 065,Large,7
SKU-066,Product 066,LARGE,6
SKU-067,Product 067,Medium,10
SKU-068,Product 068,Large,7
SKU-069,Product 069,Large,6
SKU-070,Product 070,  Small ,22
SKU-071,Product 071,Medium,14
SKU-072,Product 072,Large,7
SKU-073,Product 073,Medium,10
SKU-074,Product 074,Large,7
SKU-075,Product 075,Small,23
SKU-076,Product 076,Large,5
SKU-077,Product 077,Small,27
SKU-078,Product 078,Large,6
SKU-079,Product 079,Small,27
SKU-080,Product 080,Large,6
SKU-081,Product 081,  Small ,29
SKU-082,Product 082,  Medium ,11
SKU-083,Product 083,LARGE,6
SKU-084,Product 084,Medium,13
SKU-085,Product 085,large,7
SKU-086,Product 086,Medium,14
SKU-087,Product 087,Medium,11
SKU-088,Product 088,Small,25
SKU-089,Product 089,Small,28
SKU-090,Product 090,Small,23
SKU-091,Product 091,Small,30
SKU-092,Product 092,Small,21
SKU-093,Product 093,Large,7
SKU-094,Product 094,SMALL,23
SKU-095,Product 095,Small,27
SKU-096,Product 096,Small,22
SKU-097,Product 097,Medium,14
SKU-098,Product 098,Medium,11
SKU-099,Product 099,Large,8
SKU-100,Product 100,Small,21
