Snapshot_Date,Product_ID,FG_Stock_On_Hand,FG_Weekly_Shipment
2024-01-03,SKU-001,958,129
2024-01-10,SKU-001,906,173
2024-01-17,SKU-001,916,126
2024-01-24,SKU-001,938,117
2024-01-31,SKU-001,961,117
2024-02-07,SKU-001,1020,63
2024-02-14,SKU-001,990,154
2024-02-21,SKU-001,1001,113
2024-02-28,SKU-001,1006,127
2024-03-06,SKU-001,1054,95
2024-03-13,SKU-001,1079,117
2024-03-20,SKU-001,939,140
2024-03-27,SKU-001,956,106
2024-04-03,SKU-001,943,132
2024-04-10,SKU-001,922,143
2024-04-17,SKU-001,899,162
2024-04-24,SKU-001,861,164
2024-05-01,SKU-001,897,106
2024-05-08,SKU-001,887,153
2024-05-15,SKU-001,914,97
2024-05-22,SKU-001,931,103
2024-05-29,SKU-001,915,156
2024-06-05,SKU-001,889,153
2024-06-12,SKU-001,911,116
2024-06-19,SKU-001,920,128
2024-06-26,SKU-001,888,164
2024-07-03,SKU-001,858,155
2024-07-10,SKU-001,878,105
2024-07-17,SKU-001,845,154
2024-07-24,SKU-001,831,142
2024-07-31,SKU-001,853,122
2024-08-07,SKU-001,892,95
2024-08-14,SKU-001,856,157
2024-08-21,SKU-001,884,93
2024-08-28,SKU-001,853,152
2024-09-04,SKU-001,874,121
2024-09-11,SKU-001,841,163
2024-09-18,SKU-001,806,169
2024-09-25,SKU-001,802,124
2024-10-02,SKU-001,798,126
2024-10-09,SKU-001,768,166
2024-10-16,SKU-001,753,142
2024-10-23,SKU-001,765,125
2024-10-30,SKU-001,764,128
2024-11-06,SKU-001,812,79
2024-11-13,SKU-001,811,132
2024-11-20,SKU-001,851,104
2024-11-27,SKU-001,860,135
2024-12-11,SKU-001,858,126
2024-12-18,SKU-001,870,121
2024-12-25,SKU-001,846,153
2025-01-01,SKU-001,855,112
2025-01-08,SKU-001,869,111
2025-01-15,SKU-001,833,170
2025-01-22,SKU-001,843,118
2025-01-29,SKU-001,869,119
2025-02-05,SKU-001,876,134
2025-02-12,SKU-001,861,149
2025-02-19,SKU-001,738,122
2025-02-26,SKU-001,759,123
2025-03-05,SKU-001,721,160
2025-03-12,SKU-001,521,200
2025-03-19,SKU-001,368,153
2025-03-26,SKU-001,413,98
2025-04-02,SKU-001,412,140
2025-04-09,SKU-001,393,142
2025-04-16,SKU-001,381,140
2025-04-23,SKU-001,337,182
2025-04-30,SKU-001,378,101
2025-05-07,SKU-001,368,153
2025-05-14,SKU-001,378,111
2025-05-21,SKU-001,370,144
2025-05-28,SKU-001,367,126
2025-06-04,SKU-001,403,109
2025-06-11,SKU-001,396,131
2025-06-18,SKU-001,376,155
2025-06-25,SKU-001,327,171
2025-07-02,SKU-001,267,205
2025-07-09,SKU-001,283,104
2025-07-16,SKU-001,285,127
2025-07-23,SKU-001,274,145
2025-07-30,SKU-001,295,110
2025-08-06,SKU-001,284,155
2025-08-13,SKU-001,329,100
2025-08-20,SKU-001,307,143
2025-08-27,SKU-001,310,134
2025-09-03,SKU-001,296,142
2025-09-10,SKU-001,269,161
2025-09-17,SKU-001,301,108
2025-09-24,SKU-001,298,146
2025-10-01,SKU-001,189,235
2025-10-08,SKU-001,150,163
2025-10-22,SKU-001,168,112
2025-10-29,SKU-001,192,120
2025-11-05,SKU-001,138,194
2025-11-12,SKU-001,187,90
2025-11-19,SKU-001,152,161
2025-11-26,SKU-001,171,104
2025-12-03,SKU-001,159,151
2025-12-10,SKU-001,150,134
2025-12-17,SKU-001,141,149
2025-12-24,SKU-001,163,115
2024-01-03,SKU-002,821,118
2024-01-10,SKU-002,801,155
2024-01-17,SKU-002,839,107
2024-01-24,SKU-002,858,122
2024-01-31,SKU-002,835,176
2024-02-07,SKU-002,778,187
2024-02-14,SKU-002,755,176
2024-02-21,SKU-002,602,153
2024-02-28,SKU-002,621,114
2024-03-06,SKU-002,702,49
2024-03-13,SKU-002,731,105
2024-03-20,SKU-002,697,178
2024-03-27,SKU-002,711,127
2024-04-03,SKU-002,692,152
2024-04-10,SKU-002,704,135
2024-04-17,SKU-002,672,159
2024-04-24,SKU-002,642,177
2024-05-01,SKU-002,589,200
2024-05-08,SKU-002,592,143
2024-05-15,SKU-002,591,137
2024-05-22,SKU-002,562,165
2024-05-29,SKU-002,574,123
2024-06-05,SKU-002,557,167
2024-06-12,SKU-002,535,157
2024-06-19,SKU-002,508,165
2024-06-26,SKU-002,525,121
2024-07-03,SKU-002,554,106
2024-07-10,SKU-002,523,184
2024-07-17,SKU-002,539,129
2024-07-24,SKU-002,550,141
2024-07-31,SKU-002,525,167
2024-08-07,SKU-002,487,165
2024-08-14,SKU-002,498,123
2024-08-21,SKU-002,553,90
2024-08-28,SKU-002,518,174
2024-09-04,SKU-002,494,162
2024-09-11,SKU-002,506,121
2024-09-18,SKU-002,465,190
2024-09-25,SKU-002,433,163
2024-10-02,SKU-002,383,179
2024-10-09,SKU-002,363,156
2024-10-16,SKU-002,339,173
2024-10-23,SKU-002,365,122
2024-10-30,SKU-002,312,185
2024-11-06,SKU-002,299,140
2024-11-13,SKU-002,293,139
2024-11-20,SKU-002,271,162
2024-11-27,SKU-002,309,100
2024-12-04,SKU-002,322,131
2024-12-11,SKU-002,312,143
2024-12-18,SKU-002,304,154
2024-12-25,SKU-002,297,152
2025-01-01,SKU-002,231,193
2025-01-08,SKU-002,187,192
2025-01-15,SKU-002,208,117
2025-01-22,SKU-002,259,81
2025-01-29,SKU-002,293,119
2025-02-05,SKU-002,284,150
2025-02-12,SKU-002,310,124
2025-02-19,SKU-002,128,182
2025-02-26,SKU-002,130,137
2025-03-05,SKU-002,192,92
2025-03-12,SKU-002,198,137
2025-03-26,SKU-002,115,141
2025-04-02,SKU-002,139,128
2025-04-09,SKU-002,143,137
2025-04-16,SKU-002,138,155
2025-04-23,SKU-002,170,109
2025-04-30,SKU-002,146,176
2025-05-07,SKU-002,95,184
2025-05-14,SKU-002,55,174
2025-05-21,SKU-002,1,198
2025-05-28,SKU-002,16,134
2025-06-04,SKU-002,0,179
2025-06-11,SKU-002,0,160
2025-06-18,SKU-002,43,91
2025-06-25,SKU-002,94,83
2025-07-02,SKU-002,42,183
2025-07-09,SKU-002,0,186
2025-07-16,SKU-002,53,93
2025-07-23,SKU-002,52,140
2025-07-30,SKU-002,55,138
2025-08-06,SKU-002,34,159
2025-08-13,SKU-002,52,114
2025-08-20,SKU-002,56,139
2025-08-27,SKU-002,90,113
2025-09-03,SKU-002,115,126
2025-09-10,SKU-002,130,111
2025-09-17,SKU-002,159,107
2025-09-24,SKU-002,165,142
2025-10-01,SKU-002,169,147
2025-10-08,SKU-002,159,158
2025-10-15,SKU-002,175,126
2025-10-22,SKU-002,186,133
2025-10-29,SKU-002,221,98
2025-11-05,SKU-002,214,134
2025-11-12,SKU-002,201,149
2025-11-19,SKU-002,175,172
2025-11-26,SKU-002,219,95
2025-12-03,SKU-002,230,119
2025-12-10,SKU-002,251,122
2025-12-17,SKU-002,191,188
2025-12-24,SKU-002,136,182
2024-01-03,SKU-003,954,104
2024-01-10,SKU-003,936,139
2024-01-17,SKU-003,967,103
2024-01-24,SKU-003,938,149
2024-01-31,SKU-003,985,90
2024-02-07,SKU-003,996,113
2024-02-14,SKU-003,1024,104
2024-02-21,SKU-003,1034,105
2024-02-28,SKU-003,1029,119
2024-03-06,SKU-003,1055,111
2024-03-13,SKU-003,1031,138
2024-03-20,SKU-003,1017,128
2024-03-27,SKU-003,1006,139
2024-04-03,SKU-003,985,140
2024-04-10,SKU-003,1030,80
2024-04-17,SKU-003,1019,127
2024-04-24,SKU-003,997,141
2024-05-01,SKU-003,995,124
2024-05-08,SKU-003,1014,109
2024-05-15,SKU-003,1047,104
2024-05-22,SKU-003,1028,151
2024-05-29,SKU-003,1051,97
2024-06-05,SKU-003,1017,162
2024-06-12,SKU-003,1048,105
2024-06-19,SKU-003,1055,120
2024-06-26,SKU-003,1064,128
2024-07-03,SKU-003,1027,155
2024-07-10,SKU-003,1021,134
2024-07-17,SKU-003,1041,113
2024-07-24,SKU-003,1047,115
2024-07-31,SKU-003,999,178
2024-08-07,SKU-003,1015,117
2024-08-14,SKU-003,1055,74
2024-08-21,SKU-003,1103,79
2024-08-28,SKU-003,1106,126
2024-09-04,SKU-003,1087,134
2024-09-11,SKU-003,1142,70
2024-09-18,SKU-003,1121,145
2024-09-25,SKU-003,1089,154
2024-10-02,SKU-003,1065,141
2024-10-09,SKU-003,1052,130
2024-10-16,SKU-003,1064,114
2024-10-23,SKU-003,1047,146
2024-10-30,SKU-003,1066,113
2024-11-13,SKU-003,1078,113
2024-11-20,SKU-003,1082,114
2024-11-27,SKU-003,1074,144
2024-12-04,SKU-003,1047,147
2024-12-11,SKU-003,1035,136
2024-12-18,SKU-003,1071,94
2024-12-25,SKU-003,1029,163
2025-01-01,SKU-003,1030,124
2025-01-08,SKU-003,1054,97
2025-01-15,SKU-003,1045,128
2025-01-22,SKU-003,1028,138
2025-01-29,SKU-003,1050,106
2025-02-05,SKU-003,1017,159
2025-02-12,SKU-003,1022,113
2025-02-19,SKU-003,1018,122
2025-02-26,SKU-003,989,153
2025-03-05,SKU-003,992,122
2025-03-12,SKU-003,1023,100
2025-03-19,SKU-003,1001,146
2025-04-02,SKU-003,973,167
2025-04-09,SKU-003,1014,88
2025-04-16,SKU-003,1018,119
2025-04-23,SKU-003,1021,124
2025-04-30,SKU-003,976,172
2025-05-07,SKU-003,979,119
2025-05-14,SKU-003,913,190
2025-05-21,SKU-003,919,125
2025-05-28,SKU-003,918,122
2025-06-04,SKU-003,938,112
2025-06-11,SKU-003,948,108
2025-06-18,SKU-003,960,119
2025-06-25,SKU-003,1021,59
2025-07-02,SKU-003,992,157
2025-07-09,SKU-003,1014,116
2025-07-16,SKU-003,1041,106
2025-07-23,SKU-003,992,169
2025-07-30,SKU-003,957,157
2025-08-06,SKU-003,961,112
2025-08-13,SKU-003,980,95
2025-08-20,SKU-003,975,119
2025-08-27,SKU-003,967,137
2025-09-03,SKU-003,944,155
2025-09-10,SKU-003,919,141
2025-09-17,SKU-003,910,134
2025-09-24,SKU-003,883,149
2025-10-01,SKU-003,908,112
2025-10-08,SKU-003,934,90
2025-10-15,SKU-003,907,141
2025-10-22,SKU-003,863,170
2025-11-05,SKU-003,844,112
2025-11-12,SKU-003,856,125
2025-11-19,SKU-003,843,128
2025-11-26,SKU-003,846,116
2025-12-03,SKU-003,891,83
2025-12-10,SKU-003,875,144
2025-12-17,SKU-003,887,121
2025-12-24,SKU-003,875,134
2024-01-03,SKU-004,1105,126
2024-01-10,SKU-004,1138,120
2024-01-17,SKU-004,1192,98
2024-01-24,SKU-004,1135,198
2024-01-31,SKU-004,1157,119
2024-02-07,SKU-004,1166,145
2024-02-14,SKU-004,1224,79
2024-02-21,SKU-004,1097,128
2024-02-28,SKU-004,1104,127
2024-03-06,SKU-004,1145,107
2024-03-13,SKU-004,1120,166
2024-03-20,SKU-004,1064,211
2024-03-27,SKU-004,1067,152
2024-04-03,SKU-004,1047,167
2024-04-10,SKU-004,1076,130
2024-04-17,SKU-004,1050,179
2024-04-24,SKU-004,1047,157
2024-05-01,SKU-004,1070,139
2024-05-08,SKU-004,1121,103
2024-05-15,SKU-004,1119,164
2024-05-22,SKU-004,1161,117
2024-05-29,SKU-004,1121,183
2024-06-05,SKU-004,1135,143
2024-06-12,SKU-004,1134,153
2024-06-19,SKU-004,1101,188
2024-06-26,SKU-004,1120,136
2024-07-03,SKU-004,1179,104
2024-07-10,SKU-004,1163,153
2024-07-17,SKU-004,1155,143
2024-07-24,SKU-004,1156,147
2024-07-31,SKU-004,1185,107
2024-08-07,SKU-004,1230,118
2024-08-14,SKU-004,1248,142
2024-08-21,SKU-004,1321,92
2024-08-28,SKU-004,1295,180
2024-09-04,SKU-004,1279,158
2024-09-11,SKU-004,1248,167
2024-09-18,SKU-004,1216,186
2024-09-25,SKU-004,1244,134
2024-10-02,SKU-004,1207,177
2024-10-09,SKU-004,1260,99
2024-10-16,SKU-004,1290,123
2024-10-23,SKU-004,1309,125
2024-10-30,SKU-004,1336,118
2024-11-06,SKU-004,1377,113
2024-11-13,SKU-004,1367,170
2024-11-20,SKU-004,1292,218
2024-11-27,SKU-004,1270,184
2024-12-04,SKU-004,1326,102
2024-12-11,SKU-004,1339,131
2024-12-18,SKU-004,1352,131
2024-12-25,SKU-004,1371,144
2025-01-01,SKU-004,1403,114
2025-01-08,SKU-004,1425,133
2025-01-15,SKU-004,1420,155
2025-01-22,SKU-004,1371,196
2025-01-29,SKU-004,1390,138
2025-02-05,SKU-004,1208,182
2025-02-12,SKU-004,1209,152
2025-02-19,SKU-004,1254,112
2025-02-26,SKU-004,1283,134
2025-03-05,SKU-004,1281,149
2025-03-12,SKU-004,1212,225
2025-03-19,SKU-004,1184,181
2025-03-26,SKU-004,1162,163
2025-04-02,SKU-004,1143,158
2025-04-09,SKU-004,1119,161
2025-04-16,SKU-004,954,164
2025-04-23,SKU-004,939,179
2025-04-30,SKU-004,913,164
2025-05-07,SKU-004,948,124
2025-05-14,SKU-004,933,164
2025-05-21,SKU-004,928,161
2025-05-28,SKU-004,913,174
2025-06-04,SKU-004,927,150
2025-06-11,SKU-004,897,172
2025-06-18,SKU-004,853,194
2025-06-25,SKU-004,866,137
2025-07-02,SKU-004,876,151
2025-07-09,SKU-004,930,106
2025-07-16,SKU-004,933,144
2025-07-23,SKU-004,956,138
2025-07-30,SKU-004,1011,95
2025-08-06,SKU-004,1001,153
2025-08-13,SKU-004,1019,134
2025-08-20,SKU-004,1095,89
2025-08-27,SKU-004,1062,182
2025-09-03,SKU-004,1094,113
2025-09-10,SKU-004,1077,169
2025-09-17,SKU-004,1044,183
2025-09-24,SKU-004,1069,115
2025-10-01,SKU-004,1056,168
2025-10-08,SKU-004,1009,199
2025-10-15,SKU-004,1016,128
2025-10-22,SKU-004,1022,152
2025-10-29,SKU-004,999,178
2025-11-05,SKU-004,1005,148
2025-11-12,SKU-004,1021,142
2025-11-19,SKU-004,1014,171
2025-11-26,SKU-004,996,167
2025-12-03,SKU-004,961,187
2025-12-10,SKU-004,1003,119
2025-12-17,SKU-004,1003,161
2025-12-24,SKU-004,1011,140
2024-01-03,SKU-005,495,89
