PO_ID,Product_ID,Order_Date,Promised_ETA_Date,Actual_Arrival_Date,Qty_Ordered,Qty_Received
PO-02647,SKU-089,05-29-2024,2024-06-12,2024-06-14,377,377.0
PO-01760,SKU-059,2025-12-03,2025-12-24,2025-12-24,237,237.0
PO-01972,SKU-067,2024-02-07,2024-02-25,2024-03-14,294,294.0
PO-02615,SKU-088,2024-05-01,2024-05-15,2024-05-15,576,576.0
PO-01303,SKU-044,2025-06-25,2025-07-09,2025-07-10,598,598.0
PO-02320,SKU-078,2025-07-23,2025-08-13,2025-08-13,424,424.0
PO-01234,SKU-042,12-25-2024,2025-01-08,2025-01-08,410,410.0
PO-00897,SKU-030,2025-12-10,2025-12-31,,534,
PO-01350,SKU-046,2024-07-17,2024-08-04,2024-08-04,361,361.0
PO-00522,SKU-018,2024-08-14,2024-08-28,2024-08-28,585,493.0
PO-00270,SKU-009,2025-12-24,2026-01-07,,355,
PO-02417,SKU-081,2025-09-17,2025-10-01,2025-10-01,248,248.0
PO-02087,SKU-070,2025-09-10,2025-09-24,2025-09-26,432,432.0
PO-02037,SKU-069,2024-06-05,2024-06-26,2024-07-10,415,415.0
PO-00275,SKU-010,2024-04-10,2024-04-28,2024-04-28,353,353.0
PO-01356,SKU-046,18/12/2024,2025-01-05,2025-01-05,320,320.0
PO-01529,SKU-052,07-Aug-2024,2024-08-25,2024-08-25,532,532.0
PO-01883,SKU-064,28-Feb-2024,2024-03-13,2024-03-14,348,348.0
PO-00617,SKU-021,12-04-2024,2024-12-18,2024-12-21,335,335.0
PO-02940,SKU-099,2024-04-10,2024-05-01,2024-05-08,334,334.0
PO-01971,SKU-066,2025-12-24,2026-01-14,,504,
PO-02164,SKU-073,2025-01-15,2025-02-02,2025-02-09,339,339.0
PO-00958,SKU-033,2024-01-31,2024-02-21,2024-02-24,419,419.0
PO-02899,SKU-097,2025-07-16,2025-08-03,2025-08-05,389,389.0
PO-02272,SKU-077,2024-05-22,2024-06-05,2024-06-05,513,513.0
PO-00451,SKU-015,2025-12-24,2026-01-07,,467,
PO-01591,SKU-054,2024-08-14,2024-08-28,2024-08-28,300,300.0
PO-02755,SKU-092,10-22-2025,2025-11-05,2025-11-09,296,296.0
PO-02490,SKU-084,2024-03-20,2024-04-07,2024-04-27,445,445.0
PO-02655,SKU-089,2024-12-04,2024-12-18,2024-12-18,453,453.0
PO-02504,SKU-084,2025-03-12,2025-03-30,2025-04-06,528,401.0
PO-02398,SKU-081,2024-06-19,2024-07-03,2024-07-03,279,279.0
PO-02326,SKU-078,2025-12-10,2025-12-31,,317,
PO-00570,SKU-019,08/10/2025,2025-10-26,2025-10-29,475,475.0
PO-01640,SKU-055,2025-10-22,,2025-11-13,471,338.0
PO-01369,SKU-046,2025-10-15,2025-11-02,2025-11-02,473,473.0
PO-02141,SKU-072,2025-07-02,2025-07-23,2025-07-26,393,393.0
PO-02445,SKU-082,2025-07-16,2025-08-03,2025-08-04,334,334.0
PO-01265,SKU-043,01-Jan-2025,2025-01-22,2025-01-23,481,481.0
PO-01749,SKU-059,19-Feb-2025,2025-03-12,2025-03-12,442,442.0
PO-02435,SKU-082,2024-11-06,2024-11-24,2024-11-24,388,388.0
PO-02387,SKU-080,2025-10-01,2025-10-22,2025-10-22,457,457.0
PO-00905,SKU-031,22/05/2024,2024-06-05,2024-06-06,370,370.0
PO-02686,SKU-090,29-Jan-2025,2025-02-12,2025-02-14,335,335.0
PO-00466,SKU-016,2024-11-20,2024-12-11,2024-12-12,436,436.0
PO-02292,SKU-077,27-Aug-2025,2025-09-10,2025-09-10,486,486.0
PO-01642,SKU-055,03/12/2025,2025-12-24,,397,
PO-01128,SKU-038,2025-08-06,2025-08-24,2025-08-25,529,529.0
PO-01906,SKU-064,09-17-2025,2025-10-01,2025-10-03,330,330.0
PO-00562,SKU-019,2025-04-09,2025-04-27,2025-04-27,416,416.0
PO-02392,SKU-081,2024-01-17,2024-01-31,2024-02-01,284,284.0
PO-01473,SKU-050,06-Nov-2024,2024-11-20,2024-11-20,404,404.0
PO-00143,SKU-005,2025-09-03,2025-09-17,2025-09-19,407,407.0
PO-02612,SKU-088,28-Feb-2024,2024-03-13,2024-03-13,446,446.0
PO-02588,SKU-087,2024-09-18,2024-10-06,2024-10-11,436,436.0
PO-02335,SKU-079,2024-06-19,2024-07-03,2024-07-03,437,437.0
PO-01269,SKU-043,2025-04-16,2025-05-07,2025-05-27,451,451.0
PO-02665,SKU-089,2025-07-30,2025-08-13,2025-08-13,484,484.0
PO-01685,SKU-057,2024-09-18,2024-10-02,2024-10-02,362,362.0
PO-00375,SKU-013,2025-01-22,2025-02-12,2025-02-12,474,474.0
PO-01197,SKU-041,15/05/2024,2024-06-05,2024-06-24,398,398.0
PO-00938,SKU-032,2024-10-09,2024-10-27,2024-10-29,306,306.0
PO-02022,SKU-068,25-Jun-2025,2025-07-16,2025-08-05,418,418.0
PO-00015,SKU-001,2024-12-25,2025-01-12,2025-01-12,511,511.0
PO-02898,SKU-097,2025-06-25,2025-07-13,2025-07-13,387,387.0
PO-01426,SKU-048,01-Oct-2025,2025-10-19,2025-10-21,385,385.0
PO-01893,SKU-064,2024-10-30,2024-11-13,2024-11-13,416,416.0
PO-00160,SKU-006,2024-10-02,2024-10-16,2024-10-16,425,425.0
PO-01177,SKU-040,27/11/2024,2024-12-11,2024-12-11,394,394.0
PO-01274,SKU-043,2025-09-03,2025-09-24,2025-09-25,458,458.0
PO-01862,SKU-063,2024-08-28,2024-09-11,2024-09-11,546,546.0
PO-01117,SKU-038,2024-10-23,2024-11-10,2024-11-10,387,387.0
PO-01859,SKU-063,2024-06-19,2024-07-03,2024-07-04,365,365.0
PO-00884,SKU-030,02-12-2025,2025-03-05,2025-03-05,395,395.0
PO-00403,SKU-014,2024-11-27,2024-12-15,2024-12-18,362,362.0
PO-01958,SKU-066,2025-03-05,2025-03-26,2025-03-26,302,302.0
PO-02215,SKU-075,2024-05-08,2024-05-22,2024-05-24,556,556.0
