Snapshot_Date,Product_ID,Stock_On_Hand,Qty_Used
2024-01-03,SKU-001,935,145
2024-01-10,SKU-001,787,148
2024-01-17,SKU-001,657,130
2024-01-24,SKU-001,490,167
2024-01-31,SKU-001,365,124
2024-02-07,SKU-001,249,116
2024-02-14,SKU-001,95,154
2024-02-21,SKU-001,553,104
2024-02-28,SKU-001,388,165
2024-03-06,SKU-001,252,136
2024-03-13,SKU-001,128,124
2024-03-20,SKU-001,0,154
2024-03-27,SKU-001,355,122
2024-04-03,SKU-001,223,132
2024-04-10,SKU-001,93,130
2024-04-17,SKU-001,314,109
2024-04-24,SKU-001,622,191
2024-05-01,SKU-001,483,139
2024-05-08,SKU-001,380,103
2024-05-15,SKU-001,256,124
2024-05-22,SKU-001,659,117
2024-05-29,SKU-001,521,138
2024-06-05,SKU-001,368,153
2024-06-12,SKU-001,237,131
2024-06-19,SKU-001,611,104
2024-07-03,SKU-001,368,117
2024-07-10,SKU-001,685,141
2024-07-17,SKU-001,551,133
2024-07-24,SKU-001,386,165
2024-07-31,SKU-001,183,203
2024-08-07,SKU-001,429,134
2024-08-14,SKU-001,273,156
2024-08-21,SKU-001,505,135
2024-08-28,SKU-001,386,119
2024-09-04,SKU-001,255,131
2024-09-11,SKU-001,629,145
2024-09-18,SKU-001,489,140
2024-09-25,SKU-001,350,139
2024-10-02,SKU-001,201,149
2024-10-09,SKU-001,698,128
2024-10-16,SKU-001,569,129
2024-10-23,SKU-001,442,127
2024-10-30,SKU-001,298,144
2024-11-06,SKU-001,625,139
2024-11-13,SKU-001,509,116
2024-11-20,SKU-001,408,101
2024-11-27,SKU-001,293,115
2024-12-04,SKU-001,604,126
2024-12-11,SKU-001,459,145
2024-12-18,SKU-001,336,123
2024-12-25,SKU-001,512,142
2025-01-01,SKU-001,400,112
2025-01-08,SKU-001,250,151
2025-01-15,SKU-001,598,163
2025-01-22,SKU-001,483,115
2025-01-29,SKU-001,346,137
2025-02-05,SKU-001,242,104
2025-02-12,SKU-001,129,113
2025-02-19,SKU-001,0,132
2025-02-26,SKU-001,263,117
2025-03-05,SKU-001,117,146
2025-03-12,SKU-001,0,146
2025-03-19,SKU-001,0,140
2025-03-26,SKU-001,409,110
2025-04-02,SKU-001,263,146
2025-04-09,SKU-001,123,140
2025-04-16,SKU-001,611,121
2025-04-23,SKU-001,491,121
2025-04-30,SKU-001,346,145
2025-05-07,SKU-001,564,148
2025-05-14,SKU-001,405,158
2025-05-21,SKU-001,251,155
2025-05-28,SKU-001,558,152
2025-06-04,SKU-001,438,120
2025-06-11,SKU-001,320,118
2025-06-18,SKU-001,178,142
2025-06-25,SKU-001,458,135
2025-07-02,SKU-001,328,130
2025-07-09,SKU-001,597,148
2025-07-16,SKU-001,453,145
2025-07-23,SKU-001,303,149
2025-07-30,SKU-001,634,134
2025-08-06,SKU-001,529,104
2025-08-13,SKU-001,390,139
2025-08-20,SKU-001,252,139
2025-08-27,SKU-001,533,117
2025-09-03,SKU-001,422,112
2025-09-10,SKU-001,275,146
2025-09-17,SKU-001,579,156
2025-09-24,SKU-001,433,145
2025-10-01,SKU-001,288,145
2025-10-08,SKU-001,661,147
2025-10-15,SKU-001,507,154
2025-10-22,SKU-001,357,150
2025-10-29,SKU-001,227,130
2025-11-05,SKU-001,666,137
2025-11-12,SKU-001,569,97
2025-11-19,SKU-001,443,125
2025-11-26,SKU-001,307,136
2025-12-03,SKU-001,621,121
2025-12-10,SKU-001,501,120
2025-12-17,SKU-001,379,122
2025-12-24,SKU-001,285,94
2024-01-03,SKU-002,900,148
2024-01-10,SKU-002,772,129
2024-01-17,SKU-002,623,148
2024-01-24,SKU-002,499,124
2024-01-31,SKU-002,349,150
2024-02-07,SKU-002,211,138
2024-02-14,SKU-002,106,105
2024-02-21,SKU-002,0,117
2024-02-28,SKU-002,327,146
2024-03-06,SKU-002,197,130
2024-03-13,SKU-002,86,111
2024-03-20,SKU-002,431,161
2024-03-27,SKU-002,302,128
2024-04-03,SKU-002,170,132
2024-04-10,SKU-002,21,149
2024-04-17,SKU-002,276,132
2024-04-24,SKU-002,143,133
2024-05-01,SKU-002,436,119
2024-05-08,SKU-002,291,144
2024-05-15,SKU-002,674,140
2024-05-22,SKU-002,552,121
2024-05-29,SKU-002,430,122
2024-06-05,SKU-002,306,124
2024-06-12,SKU-002,501,160
2024-06-19,SKU-002,382,119
2024-06-26,SKU-002,240,142
2024-07-03,SKU-002,679,96
2024-07-10,SKU-002,561,118
2024-07-17,SKU-002,439,122
2024-07-24,SKU-002,303,136
2024-07-31,SKU-002,510,149
2024-08-07,SKU-002,383,126
2024-08-14,SKU-002,258,126
2024-08-21,SKU-002,594,169
2024-08-28,SKU-002,472,122
2024-09-04,SKU-002,364,107
2024-09-11,SKU-002,604,144
2024-09-18,SKU-002,473,131
2024-09-25,SKU-002,349,125
2024-10-02,SKU-002,205,143
2024-10-09,SKU-002,596,122
2024-10-16,SKU-002,448,148
2024-10-23,SKU-002,326,122
2024-10-30,SKU-002,568,158
2024-11-06,SKU-002,442,125
2024-11-13,SKU-002,325,118
2024-11-20,SKU-002,628,156
2024-11-27,SKU-002,487,141
2024-12-04,SKU-002,373,114
2024-12-11,SKU-002,233,140
2024-12-18,SKU-002,656,150
2024-12-25,SKU-002,524,132
2025-01-01,SKU-002,402,123
2025-01-08,SKU-002,247,155
2025-01-15,SKU-002,118,129
2025-01-22,SKU-002,465,119
2025-01-29,SKU-002,345,121
2025-02-05,SKU-002,211,134
2025-02-12,SKU-002,43,168
2025-02-19,SKU-002,0,146
2025-02-26,SKU-002,316,145
2025-03-05,SKU-002,187,130
2025-03-12,SKU-002,29,158
2025-03-19,SKU-002,0,155
2025-03-26,SKU-002,280,119
2025-04-02,SKU-002,148,132
2025-04-09,SKU-002,5,143
2025-04-16,SKU-002,337,133
2025-04-23,SKU-002,192,145
2025-04-30,SKU-002,635,101
2025-05-07,SKU-002,498,138
2025-05-14,SKU-002,365,133
2025-05-21,SKU-002,232,132
2025-05-28,SKU-002,609,165
2025-06-04,SKU-002,459,150
2025-06-11,SKU-002,347,112
2025-06-18,SKU-002,195,152
2025-06-25,SKU-002,624,108
2025-07-02,SKU-002,498,126
2025-07-09,SKU-002,366,132
2025-07-16,SKU-002,262,104
2025-07-23,SKU-002,590,130
2025-07-30,SKU-002,500,90
2025-08-06,SKU-002,394,105
2025-08-13,SKU-002,699,138
2025-08-20,SKU-002,578,121
2025-08-27,SKU-002,429,150
2025-09-03,SKU-002,288,141
2025-09-10,SKU-002,570,115
2025-09-17,SKU-002,450,120
2025-09-24,SKU-002,280,170
2025-10-01,SKU-002,637,117
2025-10-08,SKU-002,508,129
2025-10-15,SKU-002,363,146
2025-10-22,SKU-002,243,120
2025-10-29,SKU-002,730,86
2025-11-05,SKU-002,572,158
2025-11-12,SKU-002,430,142
2025-11-19,SKU-002,238,192
2025-11-26,SKU-002,110,128
2025-12-03,SKU-002,339,135
2025-12-10,SKU-002,236,103
2025-12-17,SKU-002,625,110
2025-12-24,SKU-002,477,148
2024-01-03,SKU-003,802,136
2024-01-10,SKU-003,638,165
2024-01-17,SKU-003,525,113
2024-01-24,SKU-003,418,106
2024-01-31,SKU-003,651,172
2024-02-07,SKU-003,506,145
2024-02-14,SKU-003,384,122
2024-02-21,SKU-003,667,135
2024-02-28,SKU-003,527,139
2024-03-06,SKU-003,412,116
2024-03-13,SKU-003,758,149
2024-03-20,SKU-003,644,114
2024-03-27,SKU-003,495,149
2024-04-03,SKU-003,374,121
2024-04-10,SKU-003,652,119
2024-04-17,SKU-003,550,101
2024-04-24,SKU-003,411,139
2024-05-01,SKU-003,310,101
2024-05-08,SKU-003,812,110
2024-05-15,SKU-003,677,135
2024-05-22,SKU-003,551,126
2024-05-29,SKU-003,428,122
2024-06-05,SKU-003,283,145
2024-06-12,SKU-003,199,84
2024-06-19,SKU-003,616,146
2024-06-26,SKU-003,474,141
2024-07-03,SKU-003,343,131
2024-07-10,SKU-003,744,139
2024-07-17,SKU-003,618,126
2024-07-24,SKU-003,493,125
2024-07-31,SKU-003,353,140
2024-08-07,SKU-003,202,152
2024-08-14,SKU-003,441,158
2024-08-21,SKU-003,327,114
2024-08-28,SKU-003,753,127
2024-09-04,SKU-003,585,168
2024-09-11,SKU-003,456,130
2024-09-18,SKU-003,317,139
2024-09-25,SKU-003,213,104
2024-10-02,SKU-003,482,141
2024-10-09,SKU-003,302,180
2024-10-16,SKU-003,693,139
