Incident_ID,Product_ID,Start_Date,End_Date,Duration_Days,Root_Cause
INC-00001,SKU-001,2024-03-20,2024-03-27,7,Packaging Shortage
INC-00002,SKU-001,2025-02-19,2025-02-26,7,Packaging Shortage
INC-00003,SKU-001,2025-03-12,2025-03-26,14,Packaging Shortage
INC-00004,SKU-002,2024-02-21,2024-02-28,7,Packaging Shortage
INC-00005,SKU-002,2025-02-19,2025-02-26,7,Packaging Shortage
INC-00006,SKU-002,2025-03-19,2025-03-26,7,Packaging Shortage
INC-00007,SKU-004,2024-02-21,2024-02-28,7,Packaging Shortage
INC-00008,SKU-004,2025-02-05,2025-02-12,7,Packaging Shortage
INC-00009,SKU-004,2025-04-16,2025-04-23,7,Packaging Shortage
INC-00010,SKU-008,2024-02-14,2024-02-28,14,Packaging Shortage
INC-00011,SKU-008,2025-02-12,2025-02-19,7,Packaging Shortage
INC-00012,SKU-008,2025-03-12,2025-03-26,14,Packaging Shortage
INC-00013,SKU-010,2024-02-14,2024-02-21,7,Packaging Shortage
INC-00014,SKU-010,2025-02-12,2025-02-19,7,Packaging Shortage
INC-00015,SKU-010,2025-03-05,2025-03-12,7,Packaging Shortage
INC-00016,SKU-010,2025-04-09,2025-04-16,7,Packaging Shortage
INC-00017,SKU-013,2024-06-26,2024-07-03,7,Packaging Shortage
INC-00018,SKU-013,2025-06-04,2025-06-18,14,Packaging Shortage
INC-00019,SKU-014,2025-03-12,2025-03-26,14,Packaging Shortage
INC-00020,SKU-016,2024-06-19,2024-06-26,7,Packaging Shortage
INC-00021,SKU-019,2024-03-20,2024-04-03,14,Packaging Shortage
INC-00022,SKU-019,2025-02-26,2025-03-05,7,Packaging Shortage
INC-00023,SKU-019,2025-04-16,2025-04-23,7,Packaging Shortage
INC-00024,SKU-020,2024-03-06,2024-03-13,7,Packaging Shortage
INC-00025,SKU-020,2024-04-24,2024-05-01,7,Packaging Shortage
INC-00026,SKU-020,2025-01-29,2025-02-05,7,Packaging Shortage
INC-00027,SKU-020,2025-02-26,2025-03-05,7,Packaging Shortage
INC-00028,SKU-020,2025-03-26,2025-04-02,7,Packaging Shortage
